,area_code,都道府県市区町村,年齢３区分,人口,locations
0,26000,京都府,15歳未満,294399,"(35.242552, 135.454601)"
1,26000,京都府,15～64歳,1527284,"(35.242552, 135.454601)"
2,26000,京都府,65歳以上,756404,"(35.242552, 135.454601)"
3,26100,京都市,15歳未満,153610,"(35.021041, 135.7556075)"
4,26100,京都市,15～64歳,896782,"(35.021041, 135.7556075)"
5,26100,京都市,65歳以上,413331,"(35.021041, 135.7556075)"
6,26101,京都市北区,15歳未満,11843,"(35.0409797, 135.7541379)"
7,26101,京都市北区,15～64歳,70609,"(35.0409797, 135.7541379)"
8,26101,京都市北区,65歳以上,34713,"(35.0409797, 135.7541379)"
9,26102,京都市上京区,15歳未満,7111,"(35.0294911, 135.7565602)"
10,26102,京都市上京区,15～64歳,53931,"(35.0294911, 135.7565602)"
11,26102,京都市上京区,65歳以上,22790,"(35.0294911, 135.7565602)"
12,26103,京都市左京区,15歳未満,17088,"(35.0485352, 135.7783697)"
13,26103,京都市左京区,15～64歳,102286,"(35.0485352, 135.7783697)"
14,26103,京都市左京区,65歳以上,46665,"(35.0485352, 135.7783697)"
15,26104,京都市中京区,15歳未満,11334,"(35.0103167, 135.7512979)"
16,26104,京都市中京区,15～64歳,71862,"(35.0103167, 135.7512979)"
17,26104,京都市中京区,65歳以上,27292,"(35.0103167, 135.7512979)"
18,26105,京都市東山区,15歳未満,2724,"(34.9970931, 135.7764641)"
19,26105,京都市東山区,15～64歳,21847,"(34.9970931, 135.7764641)"
20,26105,京都市東山区,65歳以上,12031,"(34.9970931, 135.7764641)"
21,26106,京都市下京区,15歳未満,7789,"(34.9877014, 135.7553899)"
22,26106,京都市下京区,15～64歳,56034,"(34.9877014, 135.7553899)"
23,26106,京都市下京区,65歳以上,18961,"(34.9877014, 135.7553899)"
24,26107,京都市南区,15歳未満,11488,"(34.976652, 135.7464037)"
25,26107,京都市南区,15～64歳,64123,"(34.976652, 135.7464037)"
26,26107,京都市南区,65歳以上,26359,"(34.976652, 135.7464037)"
27,26108,京都市右京区,15歳未満,21978,"(35.0101794, 135.7159781)"
28,26108,京都市右京区,15～64歳,121766,"(35.0101794, 135.7159781)"
29,26108,京都市右京区,65歳以上,58303,"(35.0101794, 135.7159781)"
